UKPRN,HE Provider,Country of HE provider,Region of HE provider,Academic Year,Nature of Event,Metric,Type of event,Value
10007143,University of Durham,England,North East,2023/24,Chargeable events,Academic staff time (days),"Performance arts (music, dance, drama etc.)",38
10007143,University of Durham,England,North East,2023/24,Chargeable events,Academic staff time (days),"Exhibitions (galleries, museums etc.)",6
10007143,University of Durham,England,North East,2023/24,Chargeable events,Academic staff time (days),Museum education,0
10007143,University of Durham,England,North East,2023/24,Chargeable events,Academic staff time (days),Other,48
10007143,University of Durham,England,North East,2023/24,Chargeable events,Attendees,Public lectures,2351
10007143,University of Durham,England,North East,2023/24,Chargeable events,Attendees,"Performance arts (music, dance, drama etc.)",15247
10007143,University of Durham,England,North East,2023/24,Chargeable events,Attendees,"Exhibitions (galleries, museums etc.)",4650
10007143,University of Durham,England,North East,2023/24,Chargeable events,Attendees,Museum education,13884
10007143,University of Durham,England,North East,2023/24,Chargeable events,Attendees,Other,23475
10007143,University of Durham,England,North East,2023/24,Free events,Academic staff time (days),Public lectures,48
10007143,University of Durham,England,North East,2023/24,Free events,Academic staff time (days),"Performance arts (music, dance, drama etc.)",11
10007143,University of Durham,England,North East,2023/24,Free events,Academic staff time (days),"Exhibitions (galleries, museums etc.)",30
10007143,University of Durham,England,North East,2023/24,Free events,Academic staff time (days),Museum education,0
10007143,University of Durham,England,North East,2023/24,Free events,Academic staff time (days),Other,378
10007143,University of Durham,England,North East,2023/24,Free events,Attendees,Public lectures,7240
10007143,University of Durham,England,North East,2023/24,Free events,Attendees,"Performance arts (music, dance, drama etc.)",2518
10007143,University of Durham,England,North East,2023/24,Free events,Attendees,"Exhibitions (galleries, museums etc.)",82045
10007143,University of Durham,England,North East,2023/24,Free events,Attendees,Museum education,4138
10007143,University of Durham,England,North East,2023/24,Free events,Attendees,Other,287920
10007799,Newcastle University,England,North East,2014/15,Chargeable events,Academic staff time (days),Public lectures,21
10007799,Newcastle University,England,North East,2014/15,Chargeable events,Academic staff time (days),"Performance arts (music, dance, drama etc.)",101
10007799,Newcastle University,England,North East,2014/15,Chargeable events,Academic staff time (days),"Exhibitions (galleries, museums etc.)",32
10007799,Newcastle University,England,North East,2014/15,Chargeable events,Academic staff time (days),Museum education,1
10007799,Newcastle University,England,North East,2014/15,Chargeable events,Academic staff time (days),Other,137
10007799,Newcastle University,England,North East,2014/15,Chargeable events,Attendees,Public lectures,1329
10007799,Newcastle University,England,North East,2014/15,Chargeable events,Attendees,"Performance arts (music, dance, drama etc.)",6897
10007799,Newcastle University,England,North East,2014/15,Chargeable events,Attendees,"Exhibitions (galleries, museums etc.)",17440
10007799,Newcastle University,England,North East,2014/15,Chargeable events,Attendees,Museum education,772
10007799,Newcastle University,England,North East,2014/15,Chargeable events,Attendees,Other,8250
10007799,Newcastle University,England,North East,2014/15,Free events,Academic staff time (days),Public lectures,262
10007799,Newcastle University,England,North East,2014/15,Free events,Academic staff time (days),"Performance arts (music, dance, drama etc.)",101
10007799,Newcastle University,England,North East,2014/15,Free events,Academic staff time (days),"Exhibitions (galleries, museums etc.)",155
10007799,Newcastle University,England,North East,2014/15,Free events,Academic staff time (days),Museum education,29
10007799,Newcastle University,England,North East,2014/15,Free events,Academic staff time (days),Other,1183
10007799,Newcastle University,England,North East,2014/15,Free events,Attendees,Public lectures,25197
10007799,Newcastle University,England,North East,2014/15,Free events,Attendees,"Performance arts (music, dance, drama etc.)",14487
10007799,Newcastle University,England,North East,2014/15,Free events,Attendees,"Exhibitions (galleries, museums etc.)",608300
10007799,Newcastle University,England,North East,2014/15,Free events,Attendees,Museum education,106954
10007799,Newcastle University,England,North East,2014/15,Free events,Attendees,Other,83607
10007799,Newcastle University,England,North East,2015/16,Chargeable events,Academic staff time (days),Public lectures,33
10007799,Newcastle University,England,North East,2015/16,Chargeable events,Academic staff time (days),"Performance arts (music, dance, drama etc.)",124
10007799,Newcastle University,England,North East,2015/16,Chargeable events,Academic staff time (days),"Exhibitions (galleries, museums etc.)",2
10007799,Newcastle University,England,North East,2015/16,Chargeable events,Academic staff time (days),Museum education,203
10007799,Newcastle University,England,North East,2015/16,Chargeable events,Academic staff time (days),Other,128
10007799,Newcastle University,England,North East,2015/16,Chargeable events,Attendees,Public lectures,2396
10007799,Newcastle University,England,North East,2015/16,Chargeable events,Attendees,"Performance arts (music, dance, drama etc.)",4388
10007799,Newcastle University,England,North East,2015/16,Chargeable events,Attendees,"Exhibitions (galleries, museums etc.)",20
