UKPRN,HE Provider,Country of HE provider,Region of HE provider,Academic Year,Source of public funding,Type of income,Unit,Value
10001282,University of Northumbria at Newcastle,England,North East,2020/21,"UKRI (except Research England), Royal Society and British Academy",Previous year's total,£000s,2842.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,All,Public funding,£000s,10723.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,All,Collaborative contribution - Cash,£000s,244.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,All,Collaborative contribution - In kind,£000s,1023.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,All,Total,£000s,11990.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,All,Previous year's total,£000s,9776.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,EU government,Public funding,£000s,1694.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,EU government,Collaborative contribution - Cash,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,EU government,Collaborative contribution - In kind,£000s,9.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,EU government,Total,£000s,1703.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,EU government,Previous year's total,£000s,1441.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,Other,Public funding,£000s,1865.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,Other,Collaborative contribution - Cash,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,Other,Collaborative contribution - In kind,£000s,146.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,Other,Total,£000s,2011.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,Other,Previous year's total,£000s,1808.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,Other UK government departments,Public funding,£000s,2697.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,Other UK government departments,Collaborative contribution - Cash,£000s,244.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,Other UK government departments,Collaborative contribution - In kind,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,Other UK government departments,Total,£000s,2941.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,Other UK government departments,Previous year's total,£000s,2611.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,"UKRI (except Research England), Royal Society and British Academy",Public funding,£000s,4467.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - Cash,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - In kind,£000s,868.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,"UKRI (except Research England), Royal Society and British Academy",Total,£000s,5335.0
10001282,University of Northumbria at Newcastle,England,North East,2021/22,"UKRI (except Research England), Royal Society and British Academy",Previous year's total,£000s,3916.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,All,Public funding,£000s,9638.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,All,Collaborative contribution - Cash,£000s,261.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,All,Collaborative contribution - In kind,£000s,1072.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,All,Total,£000s,10971.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,All,Previous year's total,£000s,11990.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,EU government,Public funding,£000s,844.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,EU government,Collaborative contribution - Cash,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,EU government,Collaborative contribution - In kind,£000s,2.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,EU government,Total,£000s,846.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,EU government,Previous year's total,£000s,1703.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,Other,Public funding,£000s,2032.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,Other,Collaborative contribution - Cash,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,Other,Collaborative contribution - In kind,£000s,153.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,Other,Total,£000s,2185.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,Other,Previous year's total,£000s,2011.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,Other UK government departments,Public funding,£000s,1702.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,Other UK government departments,Collaborative contribution - Cash,£000s,261.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,Other UK government departments,Collaborative contribution - In kind,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,Other UK government departments,Total,£000s,1963.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,Other UK government departments,Previous year's total,£000s,2941.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,"UKRI (except Research England), Royal Society and British Academy",Public funding,£000s,5060.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - Cash,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - In kind,£000s,917.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,"UKRI (except Research England), Royal Society and British Academy",Total,£000s,5977.0
10001282,University of Northumbria at Newcastle,England,North East,2022/23,"UKRI (except Research England), Royal Society and British Academy",Previous year's total,£000s,5335.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,All,Public funding,£000s,10474.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,All,Collaborative contribution - Cash,£000s,200.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,All,Collaborative contribution - In kind,£000s,1309.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,All,Total,£000s,11983.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,All,Previous year's total,£000s,10971.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,EU government,Public funding,£000s,761.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,EU government,Collaborative contribution - Cash,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,EU government,Collaborative contribution - In kind,£000s,232.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,EU government,Total,£000s,993.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,EU government,Previous year's total,£000s,846.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,Other,Public funding,£000s,1499.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,Other,Collaborative contribution - Cash,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,Other,Collaborative contribution - In kind,£000s,61.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,Other,Total,£000s,1560.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,Other,Previous year's total,£000s,2185.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,Other UK government departments,Public funding,£000s,1965.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,Other UK government departments,Collaborative contribution - Cash,£000s,200.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,Other UK government departments,Collaborative contribution - In kind,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,Other UK government departments,Total,£000s,2165.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,Other UK government departments,Previous year's total,£000s,1963.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,"UKRI (except Research England), Royal Society and British Academy",Public funding,£000s,6249.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - Cash,£000s,0.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - In kind,£000s,1016.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,"UKRI (except Research England), Royal Society and British Academy",Total,£000s,7265.0
10001282,University of Northumbria at Newcastle,England,North East,2023/24,"UKRI (except Research England), Royal Society and British Academy",Previous year's total,£000s,5977.0
10007159,The University of Sunderland,England,North East,2015/16,All,Public funding,£000s,142.0
10007159,The University of Sunderland,England,North East,2015/16,All,Collaborative contribution - Cash,£000s,73.0
10007159,The University of Sunderland,England,North East,2015/16,All,Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2015/16,All,Total,£000s,215.0
10007159,The University of Sunderland,England,North East,2015/16,All,Previous year's total,£000s,162.0
10007159,The University of Sunderland,England,North East,2015/16,BEIS Research Councils,Public funding,£000s,0.0
10007159,The University of Sunderland,England,North East,2015/16,BEIS Research Councils,Collaborative contribution - Cash,£000s,0.0
10007159,The University of Sunderland,England,North East,2015/16,BEIS Research Councils,Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2015/16,BEIS Research Councils,Total,£000s,0.0
10007159,The University of Sunderland,England,North East,2015/16,BEIS Research Councils,Previous year's total,£000s,0.0
10007159,The University of Sunderland,England,North East,2015/16,EU government,Public funding,£000s,0.0
10007159,The University of Sunderland,England,North East,2015/16,EU government,Collaborative contribution - Cash,£000s,0.0
10007159,The University of Sunderland,England,North East,2015/16,EU government,Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2015/16,EU government,Total,£000s,0.0
10007159,The University of Sunderland,England,North East,2015/16,EU government,Previous year's total,£000s,0.0
10007159,The University of Sunderland,England,North East,2015/16,Other,Public funding,£000s,0.0
10007159,The University of Sunderland,England,North East,2015/16,Other,Collaborative contribution - Cash,£000s,0.0
10007159,The University of Sunderland,England,North East,2015/16,Other,Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2015/16,Other,Total,£000s,0.0
10007159,The University of Sunderland,England,North East,2015/16,Other,Previous year's total,£000s,17.0
10007159,The University of Sunderland,England,North East,2015/16,Other UK government departments,Public funding,£000s,142.0
10007159,The University of Sunderland,England,North East,2015/16,Other UK government departments,Collaborative contribution - Cash,£000s,73.0
10007159,The University of Sunderland,England,North East,2015/16,Other UK government departments,Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2015/16,Other UK government departments,Total,£000s,215.0
10007159,The University of Sunderland,England,North East,2015/16,Other UK government departments,Previous year's total,£000s,145.0
10007159,The University of Sunderland,England,North East,2016/17,All,Public funding,£000s,32.0
10007159,The University of Sunderland,England,North East,2016/17,All,Collaborative contribution - Cash,£000s,13.0
10007159,The University of Sunderland,England,North East,2016/17,All,Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2016/17,All,Total,£000s,45.0
10007159,The University of Sunderland,England,North East,2016/17,All,Previous year's total,£000s,215.0
10007159,The University of Sunderland,England,North East,2016/17,BEIS Research Councils,Public funding,£000s,0.0
10007159,The University of Sunderland,England,North East,2016/17,BEIS Research Councils,Collaborative contribution - Cash,£000s,0.0
10007159,The University of Sunderland,England,North East,2016/17,BEIS Research Councils,Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2016/17,BEIS Research Councils,Total,£000s,0.0
10007159,The University of Sunderland,England,North East,2016/17,BEIS Research Councils,Previous year's total,£000s,0.0
10007159,The University of Sunderland,England,North East,2016/17,EU government,Public funding,£000s,0.0
10007159,The University of Sunderland,England,North East,2016/17,EU government,Collaborative contribution - Cash,£000s,0.0
10007159,The University of Sunderland,England,North East,2016/17,EU government,Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2016/17,EU government,Total,£000s,0.0
10007159,The University of Sunderland,England,North East,2016/17,EU government,Previous year's total,£000s,0.0
10007159,The University of Sunderland,England,North East,2016/17,Other,Public funding,£000s,0.0
10007159,The University of Sunderland,England,North East,2016/17,Other,Collaborative contribution - Cash,£000s,0.0
10007159,The University of Sunderland,England,North East,2016/17,Other,Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2016/17,Other,Total,£000s,0.0
10007159,The University of Sunderland,England,North East,2016/17,Other,Previous year's total,£000s,0.0
10007159,The University of Sunderland,England,North East,2016/17,Other UK government departments,Public funding,£000s,32.0
10007159,The University of Sunderland,England,North East,2016/17,Other UK government departments,Collaborative contribution - Cash,£000s,13.0
10007159,The University of Sunderland,England,North East,2016/17,Other UK government departments,Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2016/17,Other UK government departments,Total,£000s,45.0
10007159,The University of Sunderland,England,North East,2016/17,Other UK government departments,Previous year's total,£000s,215.0
10007159,The University of Sunderland,England,North East,2017/18,All,Public funding,£000s,106.0
10007159,The University of Sunderland,England,North East,2017/18,All,Collaborative contribution - Cash,£000s,52.0
10007159,The University of Sunderland,England,North East,2017/18,All,Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2017/18,All,Total,£000s,158.0
10007159,The University of Sunderland,England,North East,2017/18,All,Previous year's total,£000s,45.0
10007159,The University of Sunderland,England,North East,2017/18,BEIS Research Councils,Public funding,£000s,0.0
10007159,The University of Sunderland,England,North East,2017/18,BEIS Research Councils,Collaborative contribution - Cash,£000s,0.0
10007159,The University of Sunderland,England,North East,2017/18,BEIS Research Councils,Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2017/18,BEIS Research Councils,Total,£000s,0.0
10007159,The University of Sunderland,England,North East,2017/18,BEIS Research Councils,Previous year's total,£000s,0.0
10007159,The University of Sunderland,England,North East,2017/18,EU government,Public funding,£000s,0.0
10007159,The University of Sunderland,England,North East,2017/18,EU government,Collaborative contribution - Cash,£000s,0.0
10007159,The University of Sunderland,England,North East,2017/18,EU government,Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2017/18,EU government,Total,£000s,0.0
10007159,The University of Sunderland,England,North East,2017/18,EU government,Previous year's total,£000s,0.0
10007159,The University of Sunderland,England,North East,2017/18,Other,Public funding,£000s,0.0
10007159,The University of Sunderland,England,North East,2017/18,Other,Collaborative contribution - Cash,£000s,0.0
10007159,The University of Sunderland,England,North East,2017/18,Other,Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2017/18,Other,Total,£000s,0.0
10007159,The University of Sunderland,England,North East,2017/18,Other,Previous year's total,£000s,0.0
10007159,The University of Sunderland,England,North East,2017/18,Other UK government departments,Public funding,£000s,106.0
10007159,The University of Sunderland,England,North East,2017/18,Other UK government departments,Collaborative contribution - Cash,£000s,52.0
10007159,The University of Sunderland,England,North East,2017/18,Other UK government departments,Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2017/18,Other UK government departments,Total,£000s,158.0
10007159,The University of Sunderland,England,North East,2017/18,Other UK government departments,Previous year's total,£000s,45.0
10007159,The University of Sunderland,England,North East,2018/19,All,Public funding,£000s,256.0
10007159,The University of Sunderland,England,North East,2018/19,All,Collaborative contribution - Cash,£000s,125.0
10007159,The University of Sunderland,England,North East,2018/19,All,Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2018/19,All,Total,£000s,381.0
10007159,The University of Sunderland,England,North East,2018/19,All,Previous year's total,£000s,158.0
10007159,The University of Sunderland,England,North East,2018/19,EU government,Public funding,£000s,0.0
10007159,The University of Sunderland,England,North East,2018/19,EU government,Collaborative contribution - Cash,£000s,0.0
10007159,The University of Sunderland,England,North East,2018/19,EU government,Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2018/19,EU government,Total,£000s,0.0
10007159,The University of Sunderland,England,North East,2018/19,EU government,Previous year's total,£000s,0.0
10007159,The University of Sunderland,England,North East,2018/19,Other,Public funding,£000s,0.0
10007159,The University of Sunderland,England,North East,2018/19,Other,Collaborative contribution - Cash,£000s,0.0
10007159,The University of Sunderland,England,North East,2018/19,Other,Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2018/19,Other,Total,£000s,0.0
10007159,The University of Sunderland,England,North East,2018/19,Other,Previous year's total,£000s,0.0
10007159,The University of Sunderland,England,North East,2018/19,Other UK government departments,Public funding,£000s,256.0
10007159,The University of Sunderland,England,North East,2018/19,Other UK government departments,Collaborative contribution - Cash,£000s,125.0
10007159,The University of Sunderland,England,North East,2018/19,Other UK government departments,Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2018/19,Other UK government departments,Total,£000s,381.0
10007159,The University of Sunderland,England,North East,2018/19,Other UK government departments,Previous year's total,£000s,158.0
10007159,The University of Sunderland,England,North East,2018/19,"UKRI (except Research England), Royal Society and British Academy",Public funding,£000s,0.0
10007159,The University of Sunderland,England,North East,2018/19,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - Cash,£000s,0.0
10007159,The University of Sunderland,England,North East,2018/19,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2018/19,"UKRI (except Research England), Royal Society and British Academy",Total,£000s,0.0
10007159,The University of Sunderland,England,North East,2018/19,"UKRI (except Research England), Royal Society and British Academy",Previous year's total,£000s,0.0
10007159,The University of Sunderland,England,North East,2019/20,All,Public funding,£000s,150.0
10007159,The University of Sunderland,England,North East,2019/20,All,Collaborative contribution - Cash,£000s,74.0
10007159,The University of Sunderland,England,North East,2019/20,All,Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2019/20,All,Total,£000s,224.0
10007159,The University of Sunderland,England,North East,2019/20,All,Previous year's total,£000s,381.0
10007159,The University of Sunderland,England,North East,2019/20,EU government,Public funding,£000s,0.0
10007159,The University of Sunderland,England,North East,2019/20,EU government,Collaborative contribution - Cash,£000s,0.0
10007159,The University of Sunderland,England,North East,2019/20,EU government,Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2019/20,EU government,Total,£000s,0.0
10007159,The University of Sunderland,England,North East,2019/20,EU government,Previous year's total,£000s,0.0
10007159,The University of Sunderland,England,North East,2019/20,Other,Public funding,£000s,0.0
10007159,The University of Sunderland,England,North East,2019/20,Other,Collaborative contribution - Cash,£000s,0.0
10007159,The University of Sunderland,England,North East,2019/20,Other,Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2019/20,Other,Total,£000s,0.0
10007159,The University of Sunderland,England,North East,2019/20,Other,Previous year's total,£000s,0.0
10007159,The University of Sunderland,England,North East,2019/20,Other UK government departments,Public funding,£000s,150.0
10007159,The University of Sunderland,England,North East,2019/20,Other UK government departments,Collaborative contribution - Cash,£000s,74.0
10007159,The University of Sunderland,England,North East,2019/20,Other UK government departments,Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2019/20,Other UK government departments,Total,£000s,224.0
10007159,The University of Sunderland,England,North East,2019/20,Other UK government departments,Previous year's total,£000s,381.0
10007159,The University of Sunderland,England,North East,2019/20,"UKRI (except Research England), Royal Society and British Academy",Public funding,£000s,0.0
10007159,The University of Sunderland,England,North East,2019/20,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - Cash,£000s,0.0
10007159,The University of Sunderland,England,North East,2019/20,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2019/20,"UKRI (except Research England), Royal Society and British Academy",Total,£000s,0.0
10007159,The University of Sunderland,England,North East,2019/20,"UKRI (except Research England), Royal Society and British Academy",Previous year's total,£000s,0.0
10007159,The University of Sunderland,England,North East,2020/21,All,Public funding,£000s,100.0
10007159,The University of Sunderland,England,North East,2020/21,All,Collaborative contribution - Cash,£000s,38.0
10007159,The University of Sunderland,England,North East,2020/21,All,Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2020/21,All,Total,£000s,138.0
10007159,The University of Sunderland,England,North East,2020/21,All,Previous year's total,£000s,224.0
10007159,The University of Sunderland,England,North East,2020/21,EU government,Public funding,£000s,0.0
10007159,The University of Sunderland,England,North East,2020/21,EU government,Collaborative contribution - Cash,£000s,0.0
10007159,The University of Sunderland,England,North East,2020/21,EU government,Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2020/21,EU government,Total,£000s,0.0
10007159,The University of Sunderland,England,North East,2020/21,EU government,Previous year's total,£000s,0.0
10007159,The University of Sunderland,England,North East,2020/21,Other,Public funding,£000s,0.0
10007159,The University of Sunderland,England,North East,2020/21,Other,Collaborative contribution - Cash,£000s,0.0
10007159,The University of Sunderland,England,North East,2020/21,Other,Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2020/21,Other,Total,£000s,0.0
10007159,The University of Sunderland,England,North East,2020/21,Other,Previous year's total,£000s,0.0
10007159,The University of Sunderland,England,North East,2020/21,Other UK government departments,Public funding,£000s,100.0
10007159,The University of Sunderland,England,North East,2020/21,Other UK government departments,Collaborative contribution - Cash,£000s,38.0
10007159,The University of Sunderland,England,North East,2020/21,Other UK government departments,Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2020/21,Other UK government departments,Total,£000s,138.0
10007159,The University of Sunderland,England,North East,2020/21,Other UK government departments,Previous year's total,£000s,224.0
10007159,The University of Sunderland,England,North East,2020/21,"UKRI (except Research England), Royal Society and British Academy",Public funding,£000s,0.0
10007159,The University of Sunderland,England,North East,2020/21,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - Cash,£000s,0.0
10007159,The University of Sunderland,England,North East,2020/21,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2020/21,"UKRI (except Research England), Royal Society and British Academy",Total,£000s,0.0
10007159,The University of Sunderland,England,North East,2020/21,"UKRI (except Research England), Royal Society and British Academy",Previous year's total,£000s,0.0
10007159,The University of Sunderland,England,North East,2021/22,All,Public funding,£000s,40.0
10007159,The University of Sunderland,England,North East,2021/22,All,Collaborative contribution - Cash,£000s,6.0
10007159,The University of Sunderland,England,North East,2021/22,All,Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2021/22,All,Total,£000s,46.0
10007159,The University of Sunderland,England,North East,2021/22,All,Previous year's total,£000s,138.0
10007159,The University of Sunderland,England,North East,2021/22,EU government,Public funding,£000s,0.0
10007159,The University of Sunderland,England,North East,2021/22,EU government,Collaborative contribution - Cash,£000s,0.0
10007159,The University of Sunderland,England,North East,2021/22,EU government,Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2021/22,EU government,Total,£000s,0.0
10007159,The University of Sunderland,England,North East,2021/22,EU government,Previous year's total,£000s,0.0
10007159,The University of Sunderland,England,North East,2021/22,Other,Public funding,£000s,0.0
10007159,The University of Sunderland,England,North East,2021/22,Other,Collaborative contribution - Cash,£000s,0.0
10007159,The University of Sunderland,England,North East,2021/22,Other,Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2021/22,Other,Total,£000s,0.0
10007159,The University of Sunderland,England,North East,2021/22,Other,Previous year's total,£000s,0.0
10007159,The University of Sunderland,England,North East,2021/22,Other UK government departments,Public funding,£000s,40.0
10007159,The University of Sunderland,England,North East,2021/22,Other UK government departments,Collaborative contribution - Cash,£000s,6.0
10007159,The University of Sunderland,England,North East,2021/22,Other UK government departments,Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2021/22,Other UK government departments,Total,£000s,46.0
10007159,The University of Sunderland,England,North East,2021/22,Other UK government departments,Previous year's total,£000s,138.0
10007159,The University of Sunderland,England,North East,2021/22,"UKRI (except Research England), Royal Society and British Academy",Public funding,£000s,0.0
10007159,The University of Sunderland,England,North East,2021/22,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - Cash,£000s,0.0
10007159,The University of Sunderland,England,North East,2021/22,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2021/22,"UKRI (except Research England), Royal Society and British Academy",Total,£000s,0.0
10007159,The University of Sunderland,England,North East,2021/22,"UKRI (except Research England), Royal Society and British Academy",Previous year's total,£000s,0.0
10007159,The University of Sunderland,England,North East,2022/23,All,Public funding,£000s,0.0
10007159,The University of Sunderland,England,North East,2022/23,All,Collaborative contribution - Cash,£000s,0.0
10007159,The University of Sunderland,England,North East,2022/23,All,Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2022/23,All,Total,£000s,0.0
10007159,The University of Sunderland,England,North East,2022/23,All,Previous year's total,£000s,46.0
10007159,The University of Sunderland,England,North East,2022/23,EU government,Public funding,£000s,0.0
10007159,The University of Sunderland,England,North East,2022/23,EU government,Collaborative contribution - Cash,£000s,0.0
10007159,The University of Sunderland,England,North East,2022/23,EU government,Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2022/23,EU government,Total,£000s,0.0
10007159,The University of Sunderland,England,North East,2022/23,EU government,Previous year's total,£000s,0.0
10007159,The University of Sunderland,England,North East,2022/23,Other,Public funding,£000s,0.0
10007159,The University of Sunderland,England,North East,2022/23,Other,Collaborative contribution - Cash,£000s,0.0
10007159,The University of Sunderland,England,North East,2022/23,Other,Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2022/23,Other,Total,£000s,0.0
10007159,The University of Sunderland,England,North East,2022/23,Other,Previous year's total,£000s,0.0
10007159,The University of Sunderland,England,North East,2022/23,Other UK government departments,Public funding,£000s,0.0
10007159,The University of Sunderland,England,North East,2022/23,Other UK government departments,Collaborative contribution - Cash,£000s,0.0
10007159,The University of Sunderland,England,North East,2022/23,Other UK government departments,Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2022/23,Other UK government departments,Total,£000s,0.0
10007159,The University of Sunderland,England,North East,2022/23,Other UK government departments,Previous year's total,£000s,46.0
10007159,The University of Sunderland,England,North East,2022/23,"UKRI (except Research England), Royal Society and British Academy",Public funding,£000s,0.0
10007159,The University of Sunderland,England,North East,2022/23,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - Cash,£000s,0.0
10007159,The University of Sunderland,England,North East,2022/23,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2022/23,"UKRI (except Research England), Royal Society and British Academy",Total,£000s,0.0
10007159,The University of Sunderland,England,North East,2022/23,"UKRI (except Research England), Royal Society and British Academy",Previous year's total,£000s,0.0
10007159,The University of Sunderland,England,North East,2023/24,All,Public funding,£000s,139.0
10007159,The University of Sunderland,England,North East,2023/24,All,Collaborative contribution - Cash,£000s,26.0
10007159,The University of Sunderland,England,North East,2023/24,All,Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2023/24,All,Total,£000s,165.0
10007159,The University of Sunderland,England,North East,2023/24,All,Previous year's total,£000s,0.0
10007159,The University of Sunderland,England,North East,2023/24,EU government,Public funding,£000s,0.0
10007159,The University of Sunderland,England,North East,2023/24,EU government,Collaborative contribution - Cash,£000s,0.0
10007159,The University of Sunderland,England,North East,2023/24,EU government,Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2023/24,EU government,Total,£000s,0.0
10007159,The University of Sunderland,England,North East,2023/24,EU government,Previous year's total,£000s,0.0
10007159,The University of Sunderland,England,North East,2023/24,Other,Public funding,£000s,0.0
10007159,The University of Sunderland,England,North East,2023/24,Other,Collaborative contribution - Cash,£000s,0.0
10007159,The University of Sunderland,England,North East,2023/24,Other,Collaborative contribution - In kind,£000s,0.0
10007159,The University of Sunderland,England,North East,2023/24,Other,Total,£000s,0.0
10007159,The University of Sunderland,England,North East,2023/24,Other,Previous year's total,£000s,0.0
10007159,The University of Sunderland,England,North East,2023/24,Other UK government departments,Public funding,£000s,139.0
