UKPRN,HE Provider,Country of HE provider,Region of HE provider,Academic Year,Source of public funding,Type of income,Unit,Value
10007143,University of Durham,England,North East,2021/22,All,Total,£000s,11627.0
10007143,University of Durham,England,North East,2021/22,All,Previous year's total,£000s,13514.0
10007143,University of Durham,England,North East,2021/22,EU government,Public funding,£000s,1088.0
10007143,University of Durham,England,North East,2021/22,EU government,Collaborative contribution - Cash,£000s,0.0
10007143,University of Durham,England,North East,2021/22,EU government,Collaborative contribution - In kind,£000s,6.0
10007143,University of Durham,England,North East,2021/22,EU government,Total,£000s,1094.0
10007143,University of Durham,England,North East,2021/22,EU government,Previous year's total,£000s,1060.0
10007143,University of Durham,England,North East,2021/22,Other,Public funding,£000s,153.0
10007143,University of Durham,England,North East,2021/22,Other,Collaborative contribution - Cash,£000s,0.0
10007143,University of Durham,England,North East,2021/22,Other,Collaborative contribution - In kind,£000s,34.0
10007143,University of Durham,England,North East,2021/22,Other,Total,£000s,187.0
10007143,University of Durham,England,North East,2021/22,Other,Previous year's total,£000s,609.0
10007143,University of Durham,England,North East,2021/22,Other UK government departments,Public funding,£000s,272.0
10007143,University of Durham,England,North East,2021/22,Other UK government departments,Collaborative contribution - Cash,£000s,241.0
10007143,University of Durham,England,North East,2021/22,Other UK government departments,Collaborative contribution - In kind,£000s,6.0
10007143,University of Durham,England,North East,2021/22,Other UK government departments,Total,£000s,519.0
10007143,University of Durham,England,North East,2021/22,Other UK government departments,Previous year's total,£000s,396.0
10007143,University of Durham,England,North East,2021/22,"UKRI (except Research England), Royal Society and British Academy",Public funding,£000s,7828.0
10007143,University of Durham,England,North East,2021/22,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - Cash,£000s,356.0
10007143,University of Durham,England,North East,2021/22,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - In kind,£000s,1643.0
10007143,University of Durham,England,North East,2021/22,"UKRI (except Research England), Royal Society and British Academy",Total,£000s,9827.0
10007143,University of Durham,England,North East,2021/22,"UKRI (except Research England), Royal Society and British Academy",Previous year's total,£000s,11449.0
10007143,University of Durham,England,North East,2022/23,All,Public funding,£000s,10554.0
10007143,University of Durham,England,North East,2022/23,All,Collaborative contribution - Cash,£000s,498.0
10007143,University of Durham,England,North East,2022/23,All,Collaborative contribution - In kind,£000s,1386.0
10007143,University of Durham,England,North East,2022/23,All,Total,£000s,12438.0
10007143,University of Durham,England,North East,2022/23,All,Previous year's total,£000s,11627.0
10007143,University of Durham,England,North East,2022/23,EU government,Public funding,£000s,916.0
10007143,University of Durham,England,North East,2022/23,EU government,Collaborative contribution - Cash,£000s,0.0
10007143,University of Durham,England,North East,2022/23,EU government,Collaborative contribution - In kind,£000s,1.0
10007143,University of Durham,England,North East,2022/23,EU government,Total,£000s,917.0
10007143,University of Durham,England,North East,2022/23,EU government,Previous year's total,£000s,1094.0
10007143,University of Durham,England,North East,2022/23,Other,Public funding,£000s,301.0
10007143,University of Durham,England,North East,2022/23,Other,Collaborative contribution - Cash,£000s,0.0
10007143,University of Durham,England,North East,2022/23,Other,Collaborative contribution - In kind,£000s,3.0
10007143,University of Durham,England,North East,2022/23,Other,Total,£000s,304.0
10007143,University of Durham,England,North East,2022/23,Other,Previous year's total,£000s,187.0
10007143,University of Durham,England,North East,2022/23,Other UK government departments,Public funding,£000s,223.0
10007143,University of Durham,England,North East,2022/23,Other UK government departments,Collaborative contribution - Cash,£000s,84.0
10007143,University of Durham,England,North East,2022/23,Other UK government departments,Collaborative contribution - In kind,£000s,59.0
10007143,University of Durham,England,North East,2022/23,Other UK government departments,Total,£000s,366.0
10007143,University of Durham,England,North East,2022/23,Other UK government departments,Previous year's total,£000s,519.0
10007143,University of Durham,England,North East,2022/23,"UKRI (except Research England), Royal Society and British Academy",Public funding,£000s,9114.0
10007143,University of Durham,England,North East,2022/23,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - Cash,£000s,414.0
10007143,University of Durham,England,North East,2022/23,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - In kind,£000s,1323.0
10007143,University of Durham,England,North East,2022/23,"UKRI (except Research England), Royal Society and British Academy",Total,£000s,10851.0
10007143,University of Durham,England,North East,2022/23,"UKRI (except Research England), Royal Society and British Academy",Previous year's total,£000s,9827.0
10007143,University of Durham,England,North East,2023/24,All,Public funding,£000s,13410.0
10007143,University of Durham,England,North East,2023/24,All,Collaborative contribution - Cash,£000s,856.0
10007143,University of Durham,England,North East,2023/24,All,Collaborative contribution - In kind,£000s,1578.0
